2025-03-19 01:15:12.915 | INFO     | app.agent.base:run:141 - 执行步骤 1/20 🔄
2025-03-19 01:15:15.034 | INFO     | app.agent.toolcall:think:53 - ✨ Manus的思考: 
2025-03-19 01:15:15.035 | INFO     | app.agent.toolcall:think:54 - 🛠️ Manus选择了1个工具来使用
2025-03-19 01:15:15.036 | INFO     | app.agent.toolcall:think:58 - 🧰 正在准备的工具: ['qqmusic_control']
2025-03-19 01:15:15.037 | INFO     | app.agent.toolcall:execute_tool:140 - 🔧 激活工具: 'qqmusic_control'...
2025-03-19 01:15:15.039 | INFO     | app.tool.qqmusic_control:_ensure_qqmusic_running:154 - QQ音乐未运行，尝试启动QQ音乐应用程序 🚀
2025-03-19 01:15:15.044 | INFO     | app.tool.qqmusic_control:_open_qqmusic:225 - 尝试启动QQ音乐: C:\Program Files (x86)\Tencent\QQMusic\QQMusic.exe 🚀
2025-03-19 01:15:16.073 | INFO     | app.tool.qqmusic_control:_open_qqmusic:231 - 等待QQ音乐启动... (1/15) ⏳
2025-03-19 01:15:16.073 | ERROR    | app.tool.qqmusic_control:_open_qqmusic:235 - QQ音乐进程已退出，返回码: 0 ❌
2025-03-19 01:15:16.075 | WARNING  | app.tool.qqmusic_control:execute:93 - QQ音乐窗口识别失败，但仍将尝试发送快捷键: 无法启动QQ音乐，请确认安装路径是否正确 ❌ ⚠️
2025-03-19 01:15:16.075 | INFO     | app.tool.qqmusic_control:_next_song:332 - 正在发送下一首命令(Ctrl+Alt+Right) ⏭️
2025-03-19 01:15:17.695 | INFO     | app.agent.toolcall:act:113 - 🎯 工具'qqmusic_control'完成了任务！结果: 执行命令`qqmusic_control`的观察输出:
{'success': True, 'message': '已切换到下一首歌曲 ⏭️', 'current_song': '未知'}
2025-03-19 01:15:17.695 | INFO     | app.agent.base:run:141 - 执行步骤 2/20 🔄
2025-03-19 01:15:20.975 | INFO     | app.agent.toolcall:think:53 - ✨ Manus的思考: 已成功切换到下一首歌曲 ⏭️。由于QQ音乐客户端未提供当前播放歌曲的具体信息，所以无法告知您现在播放的确切歌曲名称。如果需要进一步的操作，请告诉我！
2025-03-19 01:15:20.976 | INFO     | app.agent.toolcall:think:54 - 🛠️ Manus选择了0个工具来使用
2025-03-19 01:15:20.976 | INFO     | app.agent.base:run:141 - 执行步骤 3/20 🔄
2025-03-19 01:15:23.352 | INFO     | app.agent.toolcall:think:53 - ✨ Manus的思考: 
2025-03-19 01:15:23.353 | INFO     | app.agent.toolcall:think:54 - 🛠️ Manus选择了1个工具来使用
2025-03-19 01:15:23.354 | INFO     | app.agent.toolcall:think:58 - 🧰 正在准备的工具: ['terminate']
2025-03-19 01:15:23.354 | INFO     | app.agent.toolcall:execute_tool:140 - 🔧 激活工具: 'terminate'...
2025-03-19 01:15:23.355 | INFO     | app.agent.toolcall:_handle_special_tool:172 - 🏁 特殊工具'terminate'已完成任务！
2025-03-19 01:15:23.356 | INFO     | app.agent.toolcall:act:113 - 🎯 工具'terminate'完成了任务！结果: 执行命令`terminate`的观察输出:
The interaction has been completed with status: success
2025-03-19 01:15:36.608 | INFO     | app.agent.base:run:141 - 执行步骤 1/20 🔄
2025-03-19 01:15:39.359 | INFO     | app.agent.toolcall:think:53 - ✨ Manus的思考: 
2025-03-19 01:15:39.359 | INFO     | app.agent.toolcall:think:54 - 🛠️ Manus选择了1个工具来使用
2025-03-19 01:15:39.361 | INFO     | app.agent.toolcall:think:58 - 🧰 正在准备的工具: ['qqmusic_control']
2025-03-19 01:15:39.361 | INFO     | app.agent.toolcall:execute_tool:140 - 🔧 激活工具: 'qqmusic_control'...
2025-03-19 01:15:39.363 | INFO     | app.tool.qqmusic_control:_ensure_qqmusic_running:154 - QQ音乐未运行，尝试启动QQ音乐应用程序 🚀
2025-03-19 01:15:39.374 | INFO     | app.tool.qqmusic_control:_open_qqmusic:225 - 尝试启动QQ音乐: C:\Program Files (x86)\Tencent\QQMusic\QQMusic.exe 🚀
2025-03-19 01:15:40.371 | INFO     | app.tool.qqmusic_control:_open_qqmusic:231 - 等待QQ音乐启动... (1/15) ⏳
2025-03-19 01:15:40.371 | ERROR    | app.tool.qqmusic_control:_open_qqmusic:235 - QQ音乐进程已退出，返回码: 0 ❌
